username,ticket_count
@colorshifter2,36
@emergeen,11
@JohnAtsula33,1
@kagenou31703,4
@khanwarx,1
@kingeng0366343,8
@Markinatrail,4
@MSing_98,12
@Neontoshi01,43
@Szerr0,1
